STATISTIC,Statistic Label,Month,month_date,Meteorological Weather Station,UNIT,VALUE,latitude,longitude
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Malin head,Number,79.20,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Mullingar,Number,85.30,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Roches Point,Number,82.80,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Rosslare,Number,113.10,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Shannon airport,Number,79.60,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Belmullet,Number,42.60,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Birr,Number,42.30,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Valentia Observatory,Number,46.00,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Claremorris,Number,36.70,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Clones,Number,40.60,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Dublin airport,Number,55.40,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Kilkenny,Number,46.80,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Malin head,Number,54.00,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Mullingar,Number,43.30,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Roches Point,Number,40.50,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Rosslare,Number,64.30,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M11,1958-11-01,Shannon airport,Number,41.70,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Belmullet,Number,44.90,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Birr,Number,40.80,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Valentia Observatory,Number,51.60,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Claremorris,Number,33.20,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Clones,Number,34.10,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Dublin airport,Number,51.20,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Kilkenny,Number,38.80,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Malin head,Number,37.70,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Mullingar,Number,52.10,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Roches Point,Number,51.10,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Rosslare,Number,47.90,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M12,1958-12-01,Shannon airport,Number,38.00,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Belmullet,Number,75.20,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Birr,Number,77.90,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Valentia Observatory,Number,71.90,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Claremorris,Number,77.10,53.719,-9.006
MTM03C1,Total Sunshine Hours,1959M01,1959-01-01,Clones,Number,90.20,54.195,-7.234
